Region,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Oceania,"168,046","181,987","216,701","222,994","206,795","216,736","221,211","239,861","222,390","241,200","238,663","265,863","263,965"
Australia and New Zealand Subregion,"83,837","92,853","103,860","103,478","99,784","103,301","96,665","115,765","107,647","114,744","113,277","124,233","123,080"
Australia,"60,965","65,886","70,889","76,129","70,842","71,535","68,517","84,534","78,797","84,368","83,573","93,179","93,519"
Other Australian and New Zealand Subregion,"22,872","26,967","32,971","27,349","28,942","31,766","28,148","31,231","28,850","30,376","29,704","31,054","29,561"
Fiji, - , - , - , - ,"36,954","39,277","40,897","39,966","38,782","43,309","41,936","43,406","52,528"
"Oceania, n.e.c.",241,"89,134","112,841","119,516","70,057","74,158","83,649","84,130","75,961","83,147","83,450","98,224","88,357"
Americas,"16,916,416","20,943,588","21,248,337","20,977,116","21,277,924","22,031,012","22,040,123","22,119,747","22,320,187","22,703,058","22,949,885","23,085,493","23,241,959"
Latin America,"16,086,974","20,088,292","20,409,676","20,150,245","20,455,547","21,224,087","21,245,344","21,311,457","21,473,266","21,890,416","22,111,409","22,294,730","22,425,056"
Caribbean,"2,953,066","3,355,737","3,387,004","3,407,909","3,465,890","3,730,644","3,776,783","3,873,113","3,953,655","4,000,114","4,165,453","4,286,266","4,414,943"
Bahamas,"28,273", - , - , - ,"30,301","31,602","34,319","31,903","31,403","31,812","34,796","33,163","32,507"
Barbados,"52,172","55,113","55,693","49,265","49,567","52,829","49,922","51,849","52,499","51,378","51,739","54,374","56,191"
Cuba,"872,716","935,865","983,454","974,657","991,385","1,104,679","1,094,811","1,113,901","1,144,024","1,172,899","1,210,674","1,271,618","1,311,803"
Dominica,"17,163", - , - , - ,"32,717","28,540","30,369","23,436","31,222","28,163","32,370","31,220","33,509"
Dominican Republic,"687,677","766,570","755,539","771,910","793,285","879,187","897,263","957,376","991,046","997,734","1,063,239","1,085,321","1,162,568"
Grenada,"29,986", - , - , - ,"34,145","29,110","28,437","35,271","32,820","34,184","29,982","36,056","34,117"
Haiti,"419,317","509,875","530,897","534,969","538,582","587,149","592,260","606,365","593,980","628,003","675,546","668,223","679,752"
Jamaica,"553,827","631,374","597,940","636,589","651,177","659,771","696,990","680,845","714,743","705,804","711,134","736,303","744,658"
St. Vincent and the Grenadines,"21,540", - , - , - ,"18,343","23,088","22,061","23,218","23,868","23,075","22,950","19,897","23,689"
Trinidad and Tobago,"197,398","231,515","225,528","225,242","221,067","229,926","225,115","239,536","232,026","220,234","227,295","242,661","234,534"
